No.,player_id,Firstname,Surname,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_name,npg,npxG,xGChain,xGBuildup,year
478,554,Jonny,Jonny,Jonny,33,2792,1,1.848593504,1,1.763372713,25,31,6,0,D M S,Wolverhampton Wanderers,1,1.848593504,6.935843198,4.472829083,2018
479,573,Bruno,Jordao,Bruno Jordao,1,1,0,0,0,0.046125613,0,1,0,0,S,Wolverhampton Wanderers,0,0,0,0,2019
480,631,Jorginho,Jorginho,Jorginho,28,2022,7,6.972690678,1,1.954869382,14,24,2,0,M S,Chelsea,0,0.122245329,11.38373048,10.87897537,2020
481,697,Jorginho,Jorginho,Jorginho,31,2391,4,3.097004123,2,2.916516068,12,23,10,0,M S,Chelsea,1,0.813497595,15.91804847,14.99246665,2019
482,934,Jorginho,Jorginho,Jorginho,37,3179,2,1.296588017,0,3.072841066,19,30,8,0,M,Chelsea,1,0.535419179,16.37011041,15.05890978,2018
483,951,Willian,José,Willian José,17,1123,1,1.429273259,0,1.271105303,19,12,0,0,F S,Wolverhampton Wanderers,1,1.429273259,2.071214944,0.719258957,2020
484,1006,Joselu,Joselu,Joselu,16,565,2,1.805324413,0,0.012054931,17,2,1,0,F S,Newcastle United,2,1.805324413,2.326709889,0.750501014,2018
485,1739,Diogo,Jota,Diogo Jota,19,1114,9,7.057720538,0,1.762521075,46,12,2,0,F M S,Liverpool,9,7.057720538,10.9729747,4.076096492,2020
486,5584,Diogo,Jota,Diogo Jota,34,2329,7,12.01767508,1,2.642562356,69,29,4,0,F M S,Wolverhampton Wanderers,7,12.01767508,16.14993271,4.09800736,2019
487,6817,Diogo,Jota,Diogo Jota,33,2402,9,8.907186843,5,5.536081538,58,27,11,0,F M S,Wolverhampton Wanderers,9,8.907186843,16.15042924,4.578139786,2018
488,7281,James,Justin,James Justin,23,2070,2,1.517483089,1,2.059136271,9,19,4,0,D,Leicester,2,1.517483089,7.665663853,5.505036119,2020
489,7438,James,Justin,James Justin,13,1005,0,0.267881128,1,1.079851244,7,12,1,0,D S,Leicester,0,0.267881128,4.534260921,3.331790112,2019
490,7439,Ozan,Kabak,Ozan Kabak,9,807,0,0.086028166,0,0.029386912,1,1,3,0,D,Liverpool,0,0.086028166,1.863911737,1.863911737,2020
491,618,Christian,Kabasele,Christian Kabasele,27,2261,0,0.825311513,2,0.639217475,9,5,1,2,D S,Watford,0,0.825311513,2.303734001,2.278400663,2019
492,619,Christian,Kabasele,Christian Kabasele,21,1585,0,1.542987792,0,0.183980726,8,2,2,1,D S,Watford,0,1.542987792,2.54022925,2.489375114,2018
493,447,Harry,Kane,Harry Kane,35,3097,23,22.17485891,14,7.577093588,138,49,1,0,F,Tottenham,19,19.13018344,24.99564832,4.451256848,2020
494,5543,Harry,Kane,Harry Kane,29,2595,18,13.29706595,2,3.117006309,82,27,4,0,F,Tottenham,16,11.77476505,16.85461588,3.051301309,2019
495,750,Harry,Kane,Harry Kane,28,2437,17,16.12239446,4,4.56266322,102,30,5,0,F S,Tottenham,13,13.07775586,18.83823053,4.841164272,2018
496,3635,N'Golo,Kanté,N'Golo Kanté,30,2142,0,0.700462453,2,1.206712645,10,22,7,0,M S,Chelsea,0,0.700462453,10.10266601,8.441409685,2020
497,617,N'Golo,Kanté,N'Golo Kanté,22,1733,3,1.543912956,0,1.520271977,18,27,4,0,M S,Chelsea,3,1.543912956,7.209238461,4.837984517,2019
498,6055,N'Golo,Kanté,N'Golo Kanté,36,3103,4,3.03372803,4,3.732989227,29,46,3,0,M,Chelsea,4,3.03372803,17.04497744,12.48497474,2018
499,2496,Beram,Kayal,Beram Kayal,18,937,1,0.289865566,1,1.177038301,5,4,4,0,M S,Brighton,1,0.289865566,1.929511061,1.194939725,2018
500,314,Moise,Kean,Moise Kean,2,10,0,0.022345722,0,0,1,0,0,0,S,Everton,0,0.022345722,0.022345722,0,2020
501,611,Moise,Kean,Moise Kean,29,783,2,4.140312345,2,2.337308671,30,10,1,0,F S,Everton,2,4.140312345,6.865808516,1.085837044,2019
502,638,Michael,Keane,Michael Keane,35,2986,3,1.504691659,1,1.085252827,16,7,4,0,D S,Everton,3,1.504691659,6.951784315,6.675621526,2020
503,2498,Michael,Keane,Michael Keane,31,2550,2,2.021645652,0,0.669338237,14,6,3,0,D S,Everton,2,2.021645652,5.468895569,4.870126873,2019
504,337,Michael,Keane,Michael Keane,33,2970,1,2.00349585,2,1.242416829,31,8,2,0,D,Everton,1,2.00349585,7.383238755,6.829519972,2018
505,586,Naby,Keita,Naby Keita,10,525,0,0.393258881,0,0.912950993,9,6,1,0,M S,Liverpool,0,0.393258881,3.590221044,2.329714198,2020
506,614,Naby,Keita,Naby Keita,18,812,2,1.72337391,3,3.215543868,12,15,1,0,M S,Liverpool,2,1.72337391,9.588453019,5.729767522,2019
507,1040,Naby,Keita,Naby Keita,25,1407,2,2.54563388,1,1.069609044,27,9,0,0,M S,Liverpool,2,2.54563388,12.77582366,9.896367625,2018
508,2379,Martin,Kelly,Martin Kelly,1,1,0,0,0,0,0,0,0,0,S,Crystal Palace,0,0,0,0,2020
509,2958,Martin,Kelly,Martin Kelly,19,1554,0,0.060972406,1,0.833954088,2,6,0,0,D S,Crystal Palace,0,0.060972406,2.381859912,2.184050214,2019
510,3389,Martin,Kelly,Martin Kelly,13,1109,0,0.766651202,0,0.023411004,3,1,2,0,D S,Crystal Palace,0,0.766651202,0.70354447,0.680133467,2018
511,8045,Kenedy,Kenedy,Kenedy,25,1347,1,2.407706097,1,0.815368235,31,11,1,0,D M S,Newcastle United,1,1.646537274,4.687831139,2.716441137,2018
512,8496,Jonjoe,Kenny,Jonjoe Kenny,4,81,0,0,0,0,0,0,0,0,D S,Everton,0,0,0.240644515,0.240644515,2020
513,1250,Jonjoe,Kenny,Jonjoe Kenny,10,791,0,0.08505236,1,0.840108003,3,6,1,0,D S,Everton,0,0.08505236,2.841430392,1.963769335,2018
514,838,Reda,Khadra,Reda Khadra,1,3,0,0,0,0,0,0,0,0,S,Brighton,0,0,0,0,2020
515,482,Max,Kilman,Max Kilman,18,1291,0,0.308016365,1,0.31305787,6,5,4,0,D S,Wolverhampton Wanderers,0,0.308016365,2.029524304,1.835227825,2020
516,833,Max,Kilman,Max Kilman,3,183,0,0,0,0,0,0,0,0,D S,Wolverhampton Wanderers,0,0,0.035034571,0.035034571,2019
517,484,Max,Kilman,Max Kilman,1,1,0,0,0,0,0,0,0,0,S,Wolverhampton Wanderers,0,0,0,0,2018
518,605,Joshua,King,Joshua King,11,119,0,0.78812479,0,0,3,0,0,0,S,Everton,0,0.78812479,0.886890819,0.756995674,2020
519,771,Mateusz,Klich,Mateusz Klich,35,2404,4,2.99995879,5,3.650850466,36,44,6,0,M S,Leeds,2,1.477621123,14.60811685,10.386438,2020
520,966,Timm,Klose,Timm Klose,7,591,0,0.238488443,0,0,3,0,0,0,D,Norwich,0,0.238488443,0.465436429,0.465436429,2019
521,1791,Anthony,Knockaert,Anthony Knockaert,30,1823,2,2.110163776,6,4.206585487,27,35,4,1,F M S,Brighton,2,2.110163776,5.284969922,2.769671317,2018
522,489,Robin,Koch,Robin Koch,17,1124,0,0.514519796,0,0.125808204,9,4,1,0,D M S,Leeds,0,0.514519796,4.677588146,4.523156695,2020
523,1688,Jonathan,Kodjia,Jonathan Kodjia,6,96,0,0.158653587,0,0.082373589,2,1,1,0,S,Aston Villa,0,0.158653587,0.327951908,0.086924732,2019
524,3420,Sead,Kolasinac,Sead Kolasinac,1,90,0,0,0,0,0,0,0,0,D,Arsenal,0,0,0.429358035,0.429358035,2020
525,5247,Sead,Kolasinac,Sead Kolasinac,26,1687,0,0.254988368,2,1.334303726,4,10,4,0,D M S,Arsenal,0,0.254988368,8.028099369,7.041231651,2019
526,332,Sead,Kolasinac,Sead Kolasinac,24,1897,0,0.411074985,5,6.741930351,9,31,5,0,D M S,Arsenal,0,0.411074985,11.89089299,9.115376543,2018
527,486,Vincent,Kompany,Vincent Kompany,17,1221,1,0.240234341,0,0.071925305,5,1,6,0,D S,Manchester City,1,0.240234341,8.014269747,7.911125384,2018
528,888,Ezri,Konsa,Ezri Konsa Ngoyo,36,3192,2,3.291558614,0,0.093176626,22,2,3,0,D S,Aston Villa,2,3.291558614,3.429550214,3.381944163,2020
529,6665,Laurent,Koscielny,Laurent Koscielny,17,1326,3,2.112584164,0,0.1201596,5,2,1,0,D S,Arsenal,3,2.112584164,3.885790169,3.851031471,2018
530,602,Cheikhou,Kouyaté,Cheikhou Kouyaté,36,3126,1,0.823928103,0,0.830787105,7,8,4,0,D M S,Crystal Palace,1,0.823928103,4.744332442,4.530508513,2020
531,987,Cheikhou,Kouyaté,Cheikhou Kouyaté,35,2560,1,2.117945788,1,0.769087801,24,10,4,0,D M S,Crystal Palace,1,2.117945788,3.46302138,1.339796004,2019
532,7546,Cheikhou,Kouyaté,Cheikhou Kouyaté,31,1900,0,1.633227732,2,0.891487177,20,14,3,0,M S,Crystal Palace,0,1.633227732,4.047681621,2.867398815,2018
533,8204,Mateo,Kovacic,Mateo Kovacic,27,1833,0,0.931417286,1,1.915258423,23,21,4,0,M S,Chelsea,0,0.931417286,14.8087242,13.03579165,2020
534,8239,Mateo,Kovacic,Mateo Kovacic,31,2086,1,0.972659864,3,1.848453196,21,28,8,0,M S,Chelsea,1,0.972659864,10.1122225,9.035377033,2019
535,769,Mateo,Kovacic,Mateo Kovacic,32,1756,0,2.017641893,2,2.013349942,28,25,3,0,M S,Chelsea,0,2.017641893,8.756808152,6.003147809,2018
536,743,Emil,Krafth,Emil Krafth,16,1297,1,0.150912438,0,0.434515152,7,6,4,0,D S,Newcastle United,1,0.150912438,3.910903702,3.427047376,2020
537,7420,Emil,Krafth,Emil Krafth,17,1024,0,0.35268707,1,0.703287482,4,1,0,0,D S,Newcastle United,0,0.35268707,1.795727298,0.739752745,2019
