Pos,Player,Team,Points,Cost
DEF,Manquillo,Newcastle,28,4.00
DEF,Navarro,Watford,0,4.00
DEF,Johnson,West Ham,25,4.00
DEF,Hoever,Wolves,13,4.00
MID,Salah,Liverpool,231,12.50
MID,Mané,Liverpool,176,12.00
MID,De Bruyne,Man City,141,12.00
MID,Fernandes,Man Utd,244,12.00
MID,Sterling,Man City,154,11.00
MID,Son,Spurs,228,10.00
MID,Rashford,Man Utd,174,9.50
MID,Mahrez,Man City,145,9.00
MID,Havertz,Chelsea,91,8.50
MID,Grealish,Aston Villa,135,8.00
MID,Pulisic,Chelsea,82,8.00
MID,Foden,Man City,135,8.00
MID,Pépé,Arsenal,114,7.50
MID,Ziyech,Chelsea,70,7.50
MID,Mount,Chelsea,147,7.50
MID,Jota,Liverpool,86,7.50
MID,Gündogan,Man City,157,7.50
MID,Pogba,Man Utd,92,7.50
MID,Greenwood,Man Utd,106,7.50
MID,Zaha,Crystal Palace,136,7.00
MID,Sigurdsson,Everton,122,7.00
MID,Rodríguez,Everton,101,7.00
MID,Maddison,Leicester,133,7.00
MID,Barnes,Leicester,126,7.00
MID,Bernardo,Man City,94,7.00
MID,Torres,Man City,95,7.00
MID,Lingard,Man Utd,106,7.00
MID,Willian,Arsenal,78,6.50
MID,Saka,Arsenal,114,6.50
MID,Trossard,Brighton,132,6.50
MID,Raphinha,Leeds,133,6.50
MID,Tielemans,Leicester,133,6.50
MID,Ward-Prowse,Southampton,156,6.50
MID,Lucas Moura,Spurs,80,6.50
MID,Dele,Spurs,30,6.50
MID,Bowen,West Ham,141,6.50
MID,Neto,Wolves,124,6.50
MID,Willock,Arsenal,79,6.00
MID,Traoré,Aston Villa,135,6.00
MID,McGinn,Aston Villa,114,6.00
MID,El Ghazi,Aston Villa,111,6.00
MID,Groß,Brighton,116,6.00
MID,McNeil,Burnley,113,6.00
MID,Jorginho,Chelsea,114,6.00
MID,Eze,Crystal Palace,125,6.00
MID,Iwobi,Everton,65,6.00
MID,Pérez,Leicester,58,6.00
MID,Shaqiri,Liverpool,26,6.00
MID,Chamberlain,Liverpool,21,6.00
MID,Harrison,Leeds,160,6.00
MID,van de Beek,Man Utd,32,6.00
MID,Walcott,Southampton,76,6.00
MID,Redmond,Southampton,67,6.00
MID,Armstrong,Southampton,115,6.00
MID,Lamela,Spurs,28,6.00
MID,Bergwijn,Spurs,55,6.00
MID,Lo Celso,Spurs,35,6.00
MID,Ndombele,Spurs,99,6.00
MID,Sarr,Watford,0,6.00
MID,Lanzini,West Ham,28,6.00
MID,Benrahma,West Ham,73,6.00
MID,Soucek,West Ham,147,6.00
MID,Fornals,West Ham,125,6.00
MID,Maitland-Niles,Arsenal,68,5.50
MID,Smith Rowe,Arsenal,74,5.50
MID,Martinelli,Arsenal,36,5.50
MID,Trézéguet,Aston Villa,56,5.50
MID,Lallana,Brighton,58,5.50
MID,March,Brighton,69,5.50
MID,Jahanbakhsh,Brighton,24,5.50
MID,Mac Allister,Brighton,48,5.50
MID,Westwood,Burnley,112,5.50
MID,Gudmundsson,Burnley,50,5.50
MID,Barkley,Chelsea,76,5.50
MID,Loftus-Cheek,Chelsea,66,5.50
MID,Hudson-Odoi,Chelsea,59,5.50
MID,Gallagher,Chelsea,71,5.50
MID,Milivojevic,Crystal Palace,63,5.50
MID,Schlupp,Crystal Palace,65,5.50
MID,Bernard,Everton,21,5.50
MID,Doucouré,Everton,80,5.50
MID,Hernández,Leeds,28,5.50
MID,Klich,Leeds,99,5.50
MID,Dallas,Leeds,171,5.50
MID,Costa,Leeds,63,5.50
MID,Albrighton,Leicester,78,5.50
MID,Thiago,Liverpool,55,5.50
MID,Fabinho,Liverpool,71,5.50
MID,Minamino,Liverpool,48,5.50
MID,McTominay,Man Utd,91,5.50
MID,Shelvey,Newcastle,74,5.50
MID,Fraser,Newcastle,39,5.50
MID,Almirón,Newcastle,97,5.50
MID,Cantwell,Norwich,0,5.50
MID,Djenepo,Southampton,46,5.50
MID,Sema,Watford,0,5.50
MID,Yarmolenko,West Ham,17,5.50
